[2025-03-03 09:34:04,984] DEBUG: Using proactor: IocpProactor
[2025-03-03 11:26:03,348] INFO: Data inserted for Inverter ID: 1308675217948334731
[2025-03-03 11:26:03,384] INFO: Data inserted for Inverter ID: 1308675217948309076
[2025-03-03 11:26:03,417] INFO: Data inserted for Inverter ID: 1308675217948309073
[2025-03-03 11:26:03,463] INFO: Data inserted for Inverter ID: 1308675217948309084
[2025-03-03 11:26:03,507] INFO: Data inserted for Inverter ID: 1308675217948309081
[2025-03-03 11:26:03,543] INFO: Data inserted for Inverter ID: 1308675217948309070
[2025-03-03 11:26:03,574] INFO: Data inserted for Inverter ID: 1308675217948309108
[2025-03-03 11:26:03,614] INFO: Data inserted for Inverter ID: 1308675217948309089
[2025-03-03 11:26:03,653] INFO: Data inserted for Inverter ID: 1308675217948309069
[2025-03-03 11:26:03,696] INFO: Data inserted for Inverter ID: 1308675217948309083
[2025-03-03 11:26:03,743] INFO: Data inserted for Inverter ID: 1308675217948309077
[2025-03-03 11:26:03,779] INFO: Data inserted for Inverter ID: 1308675217948309085
[2025-03-03 11:26:03,814] INFO: Data inserted for Inverter ID: 1308675217948309095
[2025-03-03 11:26:03,854] INFO: Data inserted for Inverter ID: 1308675217948309105
[2025-03-03 11:26:03,891] INFO: Data inserted for Inverter ID: 1308675217948309078
[2025-03-03 11:26:03,935] INFO: Data inserted for Inverter ID: 1308675217948309114
[2025-03-03 11:26:03,975] INFO: Data inserted for Inverter ID: 1308675217948309074
[2025-03-03 11:26:04,014] INFO: Data inserted for Inverter ID: 1308675217948309086
[2025-03-03 11:26:04,055] INFO: Data inserted for Inverter ID: 1308675217948309091
[2025-03-03 11:26:04,095] INFO: Data inserted for Inverter ID: 1308675217948309088
[2025-03-03 11:26:04,140] INFO: Data inserted for Inverter ID: 1308675217948309116
[2025-03-03 11:26:04,176] INFO: Data inserted for Inverter ID: 1308675217948309075
[2025-03-03 11:26:04,243] INFO: Data inserted for Inverter ID: 1308675217948309080
[2025-03-03 11:26:04,281] INFO: Data inserted for Inverter ID: 1308675217948309101
[2025-03-03 11:26:04,318] INFO: Data inserted for Inverter ID: 1308675217948309039
[2025-03-03 11:26:04,356] INFO: Data inserted for Inverter ID: 1308675217948309055
[2025-03-03 11:26:04,396] INFO: Data inserted for Inverter ID: 1308675217948309043
[2025-03-03 11:26:04,433] INFO: Data inserted for Inverter ID: 1308675217948309042
[2025-03-03 11:26:04,475] INFO: Data inserted for Inverter ID: 1308675217948309047
[2025-03-03 11:26:04,511] INFO: Data inserted for Inverter ID: 1308675217948309045
[2025-03-03 11:26:04,551] INFO: Data inserted for Inverter ID: 1308675217948309049
[2025-03-03 11:26:04,598] INFO: Data inserted for Inverter ID: 1308675217948309065
[2025-03-03 11:26:04,640] INFO: Data inserted for Inverter ID: 1308675217948309057
[2025-03-03 11:26:04,671] INFO: Data inserted for Inverter ID: 1308675217948210874
[2025-03-03 11:26:04,704] INFO: Data inserted for Inverter ID: 1308675217948210873
[2025-03-03 11:26:04,791] INFO: Data inserted for Inverter ID: 1308675217948210865
[2025-03-03 11:26:04,839] INFO: Data inserted for Inverter ID: 1308675217948210871
[2025-03-03 11:26:04,873] INFO: Data inserted for Inverter ID: 1308675217948210872
[2025-03-03 11:26:04,910] INFO: Data inserted for Inverter ID: 1308675217948210870
[2025-03-03 11:26:04,941] INFO: Data inserted for Inverter ID: 1308675217948200936
[2025-03-03 11:26:04,978] INFO: Data inserted for Inverter ID: 1308675217948200919
[2025-03-03 11:26:05,014] INFO: Data inserted for Inverter ID: 1308675217948200932
[2025-03-03 11:26:05,048] INFO: Data inserted for Inverter ID: 1308675217948200930
[2025-03-03 11:26:05,106] INFO: Data inserted for Inverter ID: 1308675217948200949
[2025-03-03 11:26:05,150] INFO: Data inserted for Inverter ID: 1308675217948200914
[2025-03-03 11:26:05,188] INFO: Data inserted for Inverter ID: 1308675217948200957
[2025-03-03 11:26:05,225] INFO: Data inserted for Inverter ID: 1308675217948200922
[2025-03-03 11:26:05,268] INFO: Data inserted for Inverter ID: 1308675217948200913
[2025-03-03 11:26:05,316] INFO: Data inserted for Inverter ID: 1308675217948200929
[2025-03-03 11:26:05,355] INFO: Data inserted for Inverter ID: 1308675217948200937
[2025-03-03 11:26:05,388] INFO: Data inserted for Inverter ID: 1308675217948200963
[2025-03-03 11:26:05,442] INFO: Data inserted for Inverter ID: 1308675217948200933
[2025-03-03 11:26:05,487] INFO: Data inserted for Inverter ID: 1308675217948200931
[2025-03-03 11:26:05,521] INFO: Data inserted for Inverter ID: 1308675217948200921
[2025-03-03 11:26:05,562] INFO: Data inserted for Inverter ID: 1308675217948200910
[2025-03-03 11:26:05,595] INFO: Data inserted for Inverter ID: 1308675217948200962
[2025-03-03 11:26:05,634] INFO: Data inserted for Inverter ID: 1308675217948200961
[2025-03-03 11:26:05,665] INFO: Data inserted for Inverter ID: 1308675217948200912
[2025-03-03 11:26:05,700] INFO: Data inserted for Inverter ID: 1308675217948200947
[2025-03-03 11:26:05,741] INFO: Data inserted for Inverter ID: 1308675217948200875
[2025-03-03 11:26:05,785] INFO: Data inserted for Inverter ID: 1308675217948200893
[2025-03-03 11:26:05,829] INFO: Data inserted for Inverter ID: 1308675217948200900
[2025-03-03 11:26:05,870] INFO: Data inserted for Inverter ID: 1308675217948200905
[2025-03-03 11:26:05,908] INFO: Data inserted for Inverter ID: 1308675217948200879
